SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
35249;Russia;India;Garpun;sea search radar;Sensors;1998;Yes;1;No;2011;No;New;5.0000;5.0000;5;Yes
54747;United States;United Kingdom;MXT-MV;APV;Armoured vehicles;2010;Yes;71;Yes;2011;Yes;New;0.1600;0.1600;11.36;No
39782;United States;Singapore;G-550 AEW;AEW&C aircraft;Aircraft;2007;No;1;No;2011;No;New;40.0000;40.0000;40;No
39838;Ukraine;Azerbaijan;MiG-29;fighter aircraft;Aircraft;2005;No;1;No;2011;No;Second hand but modernized;20.6500;13.629;13.629;No
54975;Ukraine;Sudan;BM-21 Grad 122mm;self-propelled MRL;Artillery;2011;Yes;30;No;2011;No;Second hand;0.4500;0.18;5.4;No
54974;Ukraine;Turkmenistan;M-46 130mm;towed gun;Artillery;2011;Yes;6;No;2011;No;Second hand;0.6500;0.26;1.56;No
54976;Ukraine;Sudan;2S1 122mm;self-propelled gun;Artillery;2011;Yes;30;No;2011;No;Second hand;0.9000;0.36;10.8;No
54973;Ukraine;Turkmenistan;2A65 MSTA-B 152mm;towed gun;Artillery;2011;Yes;6;No;2011;No;Second hand;1.0000;0.4;2.4;No
38340;United States;Mexico;CT7;turboprop;Engines;2009;Yes;6;Yes;2012;No;New;0.6000;0.6000;3.6;No
51629;Spain;Mexico;CN-235MP;MP aircraft;Aircraft;2009;Yes;3;No;2012;No;New;16.8000;16.8000;50.4;No
39226;Netherlands;Venezuela;STING;fire control radar;Sensors;2006;No;1;No;2012;No;New;4.7500;4.7500;4.75;No
54409;China;Pakistan;CM-400AKG;anti-ship missile;Missiles;2010;Yes;5;Yes;2012;Yes;New;1.2500;1.2500;6.25;No
51629;Spain;Mexico;CN-235MP;MP aircraft;Aircraft;2009;Yes;1;No;2011;No;New;16.8000;16.8000;16.8;No
54302;China;Tanzania;WZ-551;APC;Armoured vehicles;2010;Yes;1;Yes;2011;No;New;0.3000;0.3000;0.3;No
50706;United States;United Kingdom;Cougar;APC;Armoured vehicles;2009;No;87;Yes;2011;Yes;New;0.3000;0.3000;26.1;Yes
50360;United States;Iraq;K-6 120mm;mortar;Artillery;2008;No;115;Yes;2012;No;New;0.0500;0.0500;5.75;No
53914;Russia;Algeria;Kh-35;anti-ship missile;Missiles;2009;Yes;10;Yes;2011;No;New;0.9000;0.9000;9;No
